Timestamp,Open,High,Low,Close,Volume
2021-05-01T00:01:00.000Z,2772.62,2772.62,2767.01,2767.01,14.70886513
2021-05-01T00:02:00.000Z,2771.55,2776.48,2771.55,2776.48,25.38359082
2021-05-01T00:03:00.000Z,2778.31,2782.27,2778.31,2779.55,15.86284248
2021-05-01T00:04:00.000Z,2779.96,2779.96,2778.13,2778.13,5.6898699
2021-05-01T00:05:00.000Z,2778.64,2778.64,2777.69,2777.69,2.84983255
2021-05-01T00:06:00.000Z,2777.45,2777.48,2772.5,2774.55,16.10416135
2021-05-01T00:07:00.000Z,2775.74,2777.22,2775.74,2777.22,35.75102309
2021-05-01T00:08:00.000Z,2776.82,2776.82,2774.97,2774.97,4.1380776
2021-05-01T00:09:00.000Z,2775.52,2779.02,2774.88,2774.88,149.56716181
2021-05-01T00:10:00.000Z,2774.83,2780.38,2774.8,2780.38,11.25529966
2021-05-01T00:11:00.000Z,2779.76,2779.76,2777.09,2778.9,7.90743018
2021-05-01T00:12:00.000Z,2779.42,2781.44,2778.8,2780.1,39.20545665
2021-05-01T00:13:00.000Z,2779.88,2781.42,2777.97,2777.97,192.80410415
2021-05-01T00:14:00.000Z,2779.7,2779.7,2779.7,2779.7,5.07410541
2021-05-01T00:15:00.000Z,2776.71,2776.71,2766.37,2767.59,113.28772209
2021-05-01T00:16:00.000Z,2768.84,2773.35,2768.73,2771.28,16.66866925
2021-05-01T00:17:00.000Z,2770.75,2774.35,2770.75,2774.35,22.12463854
2021-05-01T00:18:00.000Z,2775.63,2778.66,2775.63,2778.66,13.57033197
2021-05-01T00:19:00.000Z,2776.51,2776.51,2776.46,2776.46,4.87487118
2021-05-01T00:20:00.000Z,2777.85,2780.33,2777.85,2780.33,96.67386967
2021-05-01T00:21:00.000Z,2777.91,2777.91,2776.77,2777.88,17.48076141
2021-05-01T00:22:00.000Z,2777.02,2778.17,2776.5,2777.09,5.896
2021-05-01T00:23:00.000Z,2776.31,2777.7,2775.9,2777.7,34.20146644
2021-05-01T00:24:00.000Z,2777.15,2777.15,2775.27,2776.29,54.03773063
2021-05-01T00:25:00.000Z,2773.9,2775.98,2773.89,2775.98,5.6061838
2021-05-01T00:26:00.000Z,2773.65,2775.24,2773.65,2774.5,19.94783207
2021-05-01T00:27:00.000Z,2773.44,2777.29,2773.44,2776.68,18.44201201
2021-05-01T00:28:00.000Z,2776.72,2777.14,2773.88,2774.1,27.9292056
2021-05-01T00:29:00.000Z,2775.7,2775.7,2775.58,2775.58,10.02853611
2021-05-01T00:30:00.000Z,2776.41,2777.31,2775.69,2775.69,6.38994305
2021-05-01T00:31:00.000Z,2777.23,2777.23,2775.73,2776.99,0.32235448
